               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.018206,            0.055135,           0.0048128,             0.94919,             0.92574,              0.9606,             0.82586,            0.013798,            0.046446,           0.0047567,           0.0051985,           0.0051985,           0.0051985
                  99,            0.018001,            0.054806,           0.0046691,             0.94698,             0.92144,             0.95704,             0.82585,            0.013492,            0.046036,           0.0046629,            0.005149,            0.005149,            0.005149
                 100,            0.017926,             0.05478,           0.0045505,             0.94585,             0.92804,             0.95973,              0.8281,            0.013463,              0.0463,           0.0047736,           0.0050995,           0.0050995,           0.0050995
                 101,             0.01815,            0.054264,           0.0046696,             0.95053,             0.92237,             0.95963,             0.83071,            0.013365,            0.045596,           0.0046469,             0.00505,             0.00505,             0.00505
                 102,            0.017811,            0.053881,           0.0045442,             0.94418,             0.93655,             0.96058,             0.83424,             0.01318,            0.046176,           0.0045855,           0.0050005,           0.0050005,           0.0050005
                 103,             0.01773,            0.054203,           0.0045083,             0.93916,             0.92157,             0.95782,             0.83433,            0.013372,            0.045534,           0.0046915,            0.004951,            0.004951,            0.004951
                 104,            0.017449,            0.053221,           0.0046605,             0.94128,             0.92516,             0.95681,             0.83179,            0.013322,            0.046032,           0.0046752,           0.0049015,           0.0049015,           0.0049015
                 105,            0.017822,            0.054534,           0.0046416,             0.94922,             0.91655,             0.95374,             0.83042,            0.013335,            0.045663,            0.004657,            0.004852,            0.004852,            0.004852
                 106,            0.017561,            0.053348,           0.0044908,             0.95259,             0.91825,             0.95834,             0.83198,            0.013255,            0.046173,           0.0047027,           0.0048025,           0.0048025,           0.0048025
                 107,            0.017245,            0.053354,           0.0044162,             0.95359,             0.92439,             0.96128,             0.83833,            0.013098,             0.04585,           0.0045171,            0.004753,            0.004753,            0.004753
