               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.012927,             0.01157,           0.0013633,              0.9155,             0.85581,             0.90845,             0.78463,            0.015297,            0.033304,            0.004556,             0.00622,             0.00622,             0.00622
                  86,            0.012989,            0.011601,           0.0013732,             0.92445,              0.8665,             0.91545,             0.79287,            0.015052,            0.031116,           0.0042258,            0.006175,            0.006175,            0.006175
                  87,            0.012602,            0.011354,           0.0013098,             0.90543,             0.87735,             0.91048,             0.78732,            0.015063,            0.031513,           0.0043551,             0.00613,             0.00613,             0.00613
                  88,             0.01269,            0.011407,           0.0013245,             0.92495,             0.86315,             0.91077,             0.79216,            0.015047,            0.031759,           0.0044231,            0.006085,            0.006085,            0.006085
                  89,            0.012849,            0.011539,           0.0013336,             0.90971,             0.87791,             0.92305,             0.80367,            0.014945,            0.031435,           0.0043852,             0.00604,             0.00604,             0.00604
                  90,            0.012853,            0.011411,           0.0013101,             0.91188,             0.86479,             0.90527,             0.78973,            0.015242,            0.032673,           0.0045809,            0.005995,            0.005995,            0.005995
                  91,            0.012351,            0.011203,           0.0013099,             0.91682,             0.86471,             0.90785,             0.78599,            0.015123,              0.0319,            0.004421,             0.00595,             0.00595,             0.00595
                  92,            0.012545,            0.011241,           0.0012669,             0.91323,             0.85484,             0.90257,             0.78969,            0.015082,            0.032169,           0.0045251,            0.005905,            0.005905,            0.005905
                  93,            0.012373,            0.011116,            0.001239,             0.93135,             0.85411,             0.90952,             0.79008,            0.015035,            0.031767,           0.0043165,             0.00586,             0.00586,             0.00586
                  94,            0.012259,            0.011172,           0.0012279,             0.92379,             0.86138,             0.90946,             0.79003,            0.015082,            0.032022,             0.00438,            0.005815,            0.005815,            0.005815
                  95,            0.012653,            0.011226,           0.0012382,              0.9199,             0.85798,             0.90683,             0.78987,            0.015068,            0.032132,           0.0043535,             0.00577,             0.00577,             0.00577
                  96,            0.012109,            0.011034,           0.0012121,             0.92825,             0.84937,             0.91117,             0.80011,            0.014824,            0.031117,           0.0044114,            0.005725,            0.005725,            0.005725
                  97,            0.012324,            0.011152,           0.0012339,             0.91386,             0.86987,             0.91311,             0.79593,            0.015206,            0.030749,           0.0045331,             0.00568,             0.00568,             0.00568
                  98,            0.012395,             0.01119,           0.0012484,             0.92352,             0.86342,              0.9165,             0.79995,            0.014867,            0.031185,           0.0044985,            0.005635,            0.005635,            0.005635
                  99,            0.012286,            0.011104,           0.0012085,             0.91965,              0.8461,             0.90704,             0.79301,            0.014845,            0.031839,           0.0045104,             0.00559,             0.00559,             0.00559
                 100,            0.011947,            0.010853,           0.0011871,              0.8902,             0.88037,             0.91798,             0.79856,            0.014882,            0.031347,           0.0045008,            0.005545,            0.005545,            0.005545
                 101,            0.011834,            0.010819,           0.0011974,             0.90313,             0.87302,             0.91745,             0.80138,            0.014825,            0.031775,           0.0045738,              0.0055,              0.0055,              0.0055
                 102,            0.011881,            0.010845,           0.0011955,             0.92563,             0.84752,              0.9134,             0.79759,            0.015046,            0.031722,           0.0045954,            0.005455,            0.005455,            0.005455
                 103,            0.011805,            0.010718,           0.0011642,             0.92503,             0.85768,             0.91239,             0.79202,            0.015134,            0.032003,           0.0044523,             0.00541,             0.00541,             0.00541
                 104,            0.011701,             0.01076,           0.0011536,             0.91985,             0.86502,             0.91861,             0.80235,            0.014733,            0.031193,           0.0042763,            0.005365,            0.005365,            0.005365
                 105,            0.011796,            0.010741,           0.0011698,             0.89362,             0.87849,             0.91175,               0.797,            0.014608,            0.031226,           0.0043478,             0.00532,             0.00532,             0.00532
                 106,            0.011518,            0.010604,           0.0011686,             0.91597,             0.87158,             0.91437,             0.80122,            0.014475,            0.031185,           0.0042707,            0.005275,            0.005275,            0.005275
                 107,            0.011466,            0.010489,           0.0011369,             0.92142,             0.85945,             0.90988,              0.7974,            0.014855,            0.032081,           0.0045621,             0.00523,             0.00523,             0.00523
                 108,            0.011543,             0.01052,           0.0011308,             0.91901,             0.86779,             0.90954,             0.79933,            0.014762,            0.031569,            0.004548,            0.005185,            0.005185,            0.005185
                 109,            0.011408,             0.01044,           0.0011314,             0.91338,             0.86318,             0.91037,              0.7978,            0.014792,            0.032133,           0.0045136,             0.00514,             0.00514,             0.00514
                 110,            0.011527,             0.01056,           0.0011317,             0.91409,             0.86826,              0.9119,              0.8015,            0.014577,             0.03186,           0.0046008,            0.005095,            0.005095,            0.005095
                 111,            0.011414,             0.01057,           0.0011138,             0.91283,              0.8537,             0.90399,             0.79217,            0.014874,            0.031788,           0.0046178,             0.00505,             0.00505,             0.00505
                 112,            0.011301,            0.010309,           0.0010836,             0.91753,             0.85107,             0.90987,             0.79798,            0.014724,            0.031831,            0.004512,            0.005005,            0.005005,            0.005005
                 113,            0.011573,            0.010492,           0.0011045,             0.92943,             0.85334,             0.90909,             0.79845,            0.014483,            0.030933,             0.00439,             0.00496,             0.00496,             0.00496
                 114,            0.011333,            0.010354,           0.0010621,             0.92313,             0.84841,             0.90718,             0.79434,            0.014694,            0.031229,           0.0046213,            0.004915,            0.004915,            0.004915
                 115,            0.011296,            0.010339,           0.0010552,             0.92563,             0.86045,             0.91372,             0.80137,            0.014668,            0.031502,           0.0046165,             0.00487,             0.00487,             0.00487
                 116,              0.0113,             0.01036,           0.0010521,             0.91138,             0.85594,             0.90982,             0.79699,            0.014538,            0.031679,           0.0044815,            0.004825,            0.004825,            0.004825
                 117,            0.011196,            0.010195,           0.0010433,             0.88344,             0.87341,             0.90598,             0.79264,            0.014667,            0.032469,           0.0048396,             0.00478,             0.00478,             0.00478
                 118,            0.010879,            0.010091,           0.0010403,             0.90646,             0.86609,             0.91261,             0.79792,            0.014673,            0.031901,           0.0044948,            0.004735,            0.004735,            0.004735
                 119,            0.011137,            0.010179,             0.00104,             0.89359,             0.85766,             0.90267,             0.78753,            0.014659,            0.032174,           0.0044887,             0.00469,             0.00469,             0.00469
                 120,            0.010943,            0.010067,           0.0010056,             0.91554,             0.85005,             0.90502,             0.79185,            0.014536,            0.032597,           0.0043963,            0.004645,            0.004645,            0.004645
                 121,            0.010955,            0.010104,           0.0010281,             0.90616,             0.84913,             0.90481,             0.79366,            0.014673,            0.032601,           0.0045002,              0.0046,              0.0046,              0.0046
                 122,            0.010905,            0.009928,           0.0010181,             0.89984,             0.85855,             0.90565,             0.79465,            0.014697,            0.033061,           0.0045991,            0.004555,            0.004555,            0.004555
